     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
  1359: E[0:00:11]-R[0:00:05]: Return=     0.994, Steps=   7, Features = 16
  1475: E[0:00:12]-R[0:00:04]: Return=     0.996, Steps=   5, Features = 16
  1590: E[0:00:13]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1707: E[0:00:14]-R[0:00:02]: Return=     0.996, Steps=   5, Features = 16
  1831: E[0:00:15]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  1963: E[0:00:16]-R[0:00:00]: Return=     0.992, Steps=   9, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.1982, Steps= 2.8, Features = 16
Total Experiment Duration 0:00:17
     1: >>> E[0:00:17]-R[9:23:55]: Return=    0.3978, Steps= 3.2, Features = 16
     1: >>> E[0:00:35]-R[19:17:29]: Return=    0.5968, Steps= 4.2, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=     0.999, Steps= 2.0, Features = 16
    74: E[0:00:01]-R[0:00:18]: Return=     0.996, Steps=   5, Features = 16
   178: E[0:00:02]-R[0:00:17]: Return=         1, Steps=   1, Features = 16
   293: E[0:00:03]-R[0:00:16]: Return=     0.992, Steps=   9, Features = 16
   405: E[0:00:04]-R[0:00:15]: Return=     0.996, Steps=   5, Features = 16
   513: E[0:00:05]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   617: E[0:00:06]-R[0:00:13]: Return=     0.996, Steps=   5, Features = 16
   725: E[0:00:07]-R[0:00:12]: Return=         1, Steps=   1, Features = 16
   838: E[0:00:08]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   948: E[0:00:09]-R[0:00:10]: Return=      0.99, Steps=  11, Features = 16
  1064: E[0:00:10]-R[0:00:09]: Return=     0.994, Steps=   7, Features = 16
  1175: E[0:00:11]-R[0:00:08]: Return=         1, Steps=   1, Features = 16
  1286: E[0:00:12]-R[0:00:07]: Return=     0.996, Steps=   5, Features = 16
  1401: E[0:00:13]-R[0:00:06]: Return=     0.994, Steps=   7, Features = 16
  1518: E[0:00:14]-R[0:00:04]: Return=     0.974, Steps=  27, Features = 16
  1632: E[0:00:15]-R[0:00:03]: Return=     0.994, Steps=   7, Features = 16
  1744: E[0:00:16]-R[0:00:02]: Return=         1, Steps=   1, Features = 16
  1858: E[0:00:17]-R[0:00:01]: Return=         1, Steps=   1, Features = 16
  1972: E[0:00:18]-R[0:00:00]: Return=     0.992, Steps=   9, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.9972, Steps= 3.8, Features = 16
Total Experiment Duration 0:00:18
     1: >>> E[0:00:19]-R[10:19:15]: Return=    0.9998, Steps= 1.2, Features = 16
     1: >>> E[0:00:38]-R[21:14:22]: Return=    0.9984, Steps= 2.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=     0.512, Steps=89.0, Features = 16
    90: E[0:00:01]-R[0:00:13]: Return=     0.911, Steps=  90, Features = 16
   234: E[0:00:02]-R[0:00:12]: Return=    -1.019, Steps=  20, Features = 16
   372: E[0:00:03]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 16
   510: E[0:00:04]-R[0:00:11]: Return=     0.987, Steps=  14, Features = 16
   650: E[0:00:05]-R[0:00:10]: Return=     0.991, Steps=  10, Features = 16
   788: E[0:00:06]-R[0:00:09]: Return=     0.997, Steps=   4, Features = 16
   926: E[0:00:07]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 16
  1062: E[0:00:08]-R[0:00:07]: Return=     0.991, Steps=  10, Features = 16
  1198: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1344: E[0:00:10]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  1480: E[0:00:11]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  1618: E[0:00:12]-R[0:00:03]: Return=     0.987, Steps=  14, Features = 16
  1750: E[0:00:13]-R[0:00:02]: Return=     0.987, Steps=  14, Features = 16
  1884: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9948, Steps= 6.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:25:02]: Return=    0.9942, Steps= 6.8, Features = 16
     1: >>> E[0:00:31]-R[17:16:49]: Return=    0.9954, Steps= 5.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.6272, Steps=28.2, Features = 16
    90: E[0:00:01]-R[0:00:13]: Return=    -1.061, Steps=  62, Features = 16
   235: E[0:00:02]-R[0:00:13]: Return=     0.948, Steps=  53, Features = 16
   411: E[0:00:03]-R[0:00:11]: Return=     0.952, Steps=  49, Features = 16
   597: E[0:00:04]-R[0:00:10]: Return=     0.942, Steps=  59, Features = 16
   763: E[0:00:05]-R[0:00:09]: Return=     0.974, Steps=  27, Features = 16
   925: E[0:00:06]-R[0:00:07]: Return=     0.982, Steps=  19, Features = 16
  1075: E[0:00:07]-R[0:00:06]: Return=     0.982, Steps=  19, Features = 16
  1221: E[0:00:09]-R[0:00:05]: Return=     0.984, Steps=  17, Features = 16
  1361: E[0:00:10]-R[0:00:04]: Return=      0.99, Steps=  11, Features = 16
  1505: E[0:00:11]-R[0:00:03]: Return=      0.99, Steps=  11, Features = 16
  1648: E[0:00:12]-R[0:00:02]: Return=     0.994, Steps=   7, Features = 16
  1785: E[0:00:13]-R[0:00:02]: Return=    -1.001, Steps=   2, Features = 16
  1927: E[0:00:14]-R[0:00:01]: Return=     0.994, Steps=   7, Features = 16
  2000: >>> E[0:00:14]-R[0:00:00]: Return=    0.7927, Steps= 8.3, Features = 16
Total Experiment Duration 0:00:14
     1: >>> E[0:00:15]-R[8:05:59]: Return=    0.9942, Steps= 6.8, Features = 16
     1: >>> E[0:00:30]-R[16:52:21]: Return=    0.9944, Steps= 6.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    -1.002, Steps= 3.4, Features = 16
    86: E[0:00:01]-R[0:00:16]: Return=     0.999, Steps=   2, Features = 16
   196: E[0:00:02]-R[0:00:16]: Return=     0.983, Steps=  18, Features = 16
   316: E[0:00:03]-R[0:00:15]: Return=    -1.011, Steps=  12, Features = 16
   442: E[0:00:04]-R[0:00:13]: Return=    -1.001, Steps=   2, Features = 16
   566: E[0:00:05]-R[0:00:12]: Return=     0.999, Steps=   2, Features = 16
   692: E[0:00:06]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   810: E[0:00:07]-R[0:00:10]: Return=    -1.001, Steps=   2, Features = 16
   930: E[0:00:08]-R[0:00:09]: Return=     0.999, Steps=   2, Features = 16
  1050: E[0:00:09]-R[0:00:08]: Return=     0.999, Steps=   2, Features = 16
  1176: E[0:00:10]-R[0:00:07]: Return=    -1.007, Steps=   8, Features = 16
  1300: E[0:00:11]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1424: E[0:00:12]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1548: E[0:00:13]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1668: E[0:00:14]-R[0:00:03]: Return=     0.999, Steps=   2, Features = 16
  1792: E[0:00:15]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 16
  1916: E[0:00:16]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=     0.599, Steps= 2.0, Features = 16
Total Experiment Duration 0:00:17
     1: >>> E[0:00:17]-R[9:27:08]: Return=    0.9986, Steps= 2.4, Features = 16
     1: >>> E[0:00:34]-R[19:02:03]: Return=    0.3988, Steps= 2.2, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.3951, Steps= 5.9, Features = 16
    94: E[0:00:01]-R[0:00:14]: Return=     0.989, Steps=  12, Features = 16
   223: E[0:00:02]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   360: E[0:00:03]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
   488: E[0:00:04]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 16
   618: E[0:00:05]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   751: E[0:00:06]-R[0:00:10]: Return=    -1.002, Steps=   3, Features = 16
   878: E[0:00:07]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
  1009: E[0:00:08]-R[0:00:08]: Return=     0.997, Steps=   4, Features = 16
  1139: E[0:00:09]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  1269: E[0:00:10]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1400: E[0:00:11]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1538: E[0:00:12]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1669: E[0:00:13]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1802: E[0:00:14]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1935: E[0:00:15]-R[0:00:01]: Return=     0.981, Steps=  20, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9972, Steps= 3.8, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:16]-R[8:44:30]: Return=    0.3957, Steps= 5.3, Features = 16
     1: >>> E[0:00:33]-R[18:05:46]: Return=    0.9986, Steps= 2.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=      0.73, Steps=71.0, Features = 16
    76: E[0:00:01]-R[0:00:14]: Return=      0.99, Steps=  11, Features = 16
   207: E[0:00:02]-R[0:00:14]: Return=      0.96, Steps=  41, Features = 16
   354: E[0:00:03]-R[0:00:13]: Return=    -1.054, Steps=  55, Features = 16
   473: E[0:00:04]-R[0:00:12]: Return=         1, Steps=   1, Features = 16
   606: E[0:00:05]-R[0:00:11]: Return=     0.974, Steps=  27, Features = 16
   760: E[0:00:06]-R[0:00:10]: Return=     0.932, Steps=  69, Features = 16
   916: E[0:00:07]-R[0:00:08]: Return=     0.938, Steps=  63, Features = 16
  1044: E[0:00:08]-R[0:00:08]: Return=     0.986, Steps=  15, Features = 16
  1165: E[0:00:09]-R[0:00:07]: Return=    -1.006, Steps=   7, Features = 16
  1291: E[0:00:10]-R[0:00:06]: Return=     0.986, Steps=  15, Features = 16
  1410: E[0:00:11]-R[0:00:05]: Return=     0.996, Steps=   5, Features = 16
  1547: E[0:00:12]-R[0:00:04]: Return=    -1.014, Steps=  15, Features = 16
  1677: E[0:00:13]-R[0:00:03]: Return=    -1.014, Steps=  15, Features = 16
  1790: E[0:00:14]-R[0:00:02]: Return=         1, Steps=   1, Features = 16
  1929: E[0:00:15]-R[0:00:01]: Return=     0.988, Steps=  13, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.3956, Steps= 5.4, Features = 16
Total Experiment Duration 0:00:16
     1: >>> E[0:00:16]-R[9:06:39]: Return=    0.9998, Steps= 1.2, Features = 16
     1: >>> E[0:00:34]-R[19:06:38]: Return=    0.9988, Steps= 2.2, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9944, Steps= 6.6, Features = 16
    79: E[0:00:01]-R[0:00:16]: Return=     0.998, Steps=   3, Features = 16
   152: E[0:00:02]-R[0:00:20]: Return=     0.998, Steps=   3, Features = 16
   285: E[0:00:03]-R[0:00:16]: Return=     0.992, Steps=   9, Features = 16
   358: E[0:00:04]-R[0:00:17]: Return=     0.992, Steps=   9, Features = 16
   483: E[0:00:05]-R[0:00:15]: Return=     0.998, Steps=   3, Features = 16
   553: E[0:00:06]-R[0:00:15]: Return=     0.996, Steps=   5, Features = 16
   691: E[0:00:07]-R[0:00:13]: Return=    -1.003, Steps=   4, Features = 16
   768: E[0:00:08]-R[0:00:13]: Return=     0.992, Steps=   9, Features = 16
   911: E[0:00:09]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
  1043: E[0:00:10]-R[0:00:09]: Return=    -1.003, Steps=   4, Features = 16
  1189: E[0:00:11]-R[0:00:07]: Return=    -1.009, Steps=  10, Features = 16
  1330: E[0:00:12]-R[0:00:06]: Return=     0.988, Steps=  13, Features = 16
  1429: E[0:00:13]-R[0:00:05]: Return=    -1.011, Steps=  12, Features = 16
  1560: E[0:00:14]-R[0:00:04]: Return=     0.986, Steps=  15, Features = 16
  1648: E[0:00:15]-R[0:00:03]: Return=     0.996, Steps=   5, Features = 16
  1786: E[0:00:16]-R[0:00:02]: Return=     0.996, Steps=   5, Features = 16
  1914: E[0:00:17]-R[0:00:01]: Return=     0.986, Steps=  15, Features = 16
  2000: >>> E[0:00:18]-R[0:00:00]: Return=    0.7943, Steps= 6.7, Features = 16
Total Experiment Duration 0:00:18
     1: >>> E[0:00:19]-R[10:16:26]: Return=    0.9952, Steps= 5.8, Features = 16
     1: >>> E[0:00:37]-R[20:16:55]: Return=     0.997, Steps= 4.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.5976, Steps= 3.4, Features = 16
    60: E[0:00:01]-R[0:00:21]: Return=     0.999, Steps=   2, Features = 16
   160: E[0:00:02]-R[0:00:20]: Return=     0.995, Steps=   6, Features = 16
   252: E[0:00:03]-R[0:00:19]: Return=     0.999, Steps=   2, Features = 16
   360: E[0:00:04]-R[0:00:17]: Return=     0.999, Steps=   2, Features = 16
   448: E[0:00:05]-R[0:00:17]: Return=     0.985, Steps=  16, Features = 16
   566: E[0:00:06]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
   644: E[0:00:07]-R[0:00:14]: Return=     0.989, Steps=  12, Features = 16
   768: E[0:00:08]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
   840: E[0:00:09]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   960: E[0:00:10]-R[0:00:11]: Return=     0.999, Steps=   2, Features = 16
  1050: E[0:00:11]-R[0:00:10]: Return=    -1.001, Steps=   2, Features = 16
  1158: E[0:00:12]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  1276: E[0:00:13]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1354: E[0:00:14]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1472: E[0:00:15]-R[0:00:05]: Return=     0.999, Steps=   2, Features = 16
  1592: E[0:00:16]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  1724: E[0:00:17]-R[0:00:03]: Return=     0.983, Steps=  18, Features = 16
  1802: E[0:00:18]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1924: E[0:00:19]-R[0:00:01]: Return=     0.999, Steps=   2, Features = 16
  2000: >>> E[0:00:20]-R[0:00:00]: Return=    0.7974, Steps= 3.6, Features = 16
Total Experiment Duration 0:00:20
     1: >>> E[0:00:20]-R[11:14:51]: Return=    0.5964, Steps= 4.6, Features = 16
     1: >>> E[0:00:42]-R[23:13:42]: Return=    0.5986, Steps= 2.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.4103, Steps=11.3, Features = 16
    84: E[0:00:01]-R[0:00:15]: Return=     0.997, Steps=   4, Features = 16
   230: E[0:00:02]-R[0:00:14]: Return=     0.977, Steps=  24, Features = 16
   387: E[0:00:03]-R[0:00:12]: Return=     0.949, Steps=  52, Features = 16
   535: E[0:00:04]-R[0:00:11]: Return=     0.957, Steps=  44, Features = 16
   708: E[0:00:05]-R[0:00:09]: Return=    -1.028, Steps=  29, Features = 16
   862: E[0:00:06]-R[0:00:08]: Return=     0.965, Steps=  36, Features = 16
   962: E[0:00:07]-R[0:00:08]: Return=     0.989, Steps=  12, Features = 16
  1112: E[0:00:08]-R[0:00:07]: Return=    -1.038, Steps=  39, Features = 16
  1259: E[0:00:09]-R[0:00:05]: Return=     0.957, Steps=  44, Features = 16
  1392: E[0:00:10]-R[0:00:04]: Return=        -1, Steps=   1, Features = 16
  1526: E[0:00:11]-R[0:00:04]: Return=    -1.002, Steps=   3, Features = 16
  1662: E[0:00:12]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1797: E[0:00:13]-R[0:00:02]: Return=     0.981, Steps=  20, Features = 16
  1940: E[0:00:14]-R[0:00:00]: Return=     0.983, Steps=  18, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.3965, Steps= 4.5, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:25:21]: Return=    0.5942, Steps= 6.8, Features = 16
     1: >>> E[0:00:32]-R[17:56:59]: Return=    0.7961, Steps= 4.9, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=        -1, Steps= 1.0, Features = 16
    58: E[0:00:01]-R[0:00:25]: Return=        -1, Steps=   1, Features = 16
   127: E[0:00:02]-R[0:00:26]: Return=        -1, Steps=   1, Features = 16
   205: E[0:00:03]-R[0:00:24]: Return=        -1, Steps=   1, Features = 16
   283: E[0:00:04]-R[0:00:23]: Return=        -1, Steps=   1, Features = 16
   363: E[0:00:05]-R[0:00:21]: Return=        -1, Steps=   1, Features = 16
   444: E[0:00:06]-R[0:00:20]: Return=        -1, Steps=   1, Features = 16
   524: E[0:00:07]-R[0:00:19]: Return=        -1, Steps=   1, Features = 16
   604: E[0:00:08]-R[0:00:18]: Return=        -1, Steps=   1, Features = 16
   684: E[0:00:09]-R[0:00:17]: Return=        -1, Steps=   1, Features = 16
   766: E[0:00:10]-R[0:00:16]: Return=        -1, Steps=   1, Features = 16
   844: E[0:00:11]-R[0:00:15]: Return=        -1, Steps=   1, Features = 16
   922: E[0:00:12]-R[0:00:14]: Return=        -1, Steps=   1, Features = 16
   996: E[0:00:13]-R[0:00:13]: Return=        -1, Steps=   1, Features = 16
  1069: E[0:00:14]-R[0:00:12]: Return=        -1, Steps=   1, Features = 16
  1146: E[0:00:15]-R[0:00:11]: Return=        -1, Steps=   1, Features = 16
  1221: E[0:00:16]-R[0:00:10]: Return=        -1, Steps=   1, Features = 16
  1302: E[0:00:17]-R[0:00:09]: Return=        -1, Steps=   1, Features = 16
  1382: E[0:00:18]-R[0:00:08]: Return=        -1, Steps=   1, Features = 16
  1461: E[0:00:19]-R[0:00:07]: Return=        -1, Steps=   1, Features = 16
  1539: E[0:00:20]-R[0:00:06]: Return=        -1, Steps=   1, Features = 16
  1619: E[0:00:21]-R[0:00:05]: Return=        -1, Steps=   1, Features = 16
  1697: E[0:00:22]-R[0:00:04]: Return=        -1, Steps=   1, Features = 16
  1776: E[0:00:23]-R[0:00:03]: Return=        -1, Steps=   1, Features = 16
  1856: E[0:00:24]-R[0:00:02]: Return=        -1, Steps=   1, Features = 16
  1935: E[0:00:25]-R[0:00:01]: Return=        -1, Steps=   1, Features = 16
  2000: >>> E[0:00:26]-R[0:00:00]: Return=        -1, Steps= 1.0, Features = 16
Total Experiment Duration 0:00:26
     1: >>> E[0:00:26]-R[14:28:33]: Return=        -1, Steps= 1.0, Features = 16
     1: >>> E[0:00:52]-R[1 day, 5:03:02]: Return=        -1, Steps= 1.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9946, Steps= 6.4, Features = 16
    92: E[0:00:01]-R[0:00:16]: Return=     0.991, Steps=  10, Features = 16
   220: E[0:00:02]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
   364: E[0:00:03]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
   502: E[0:00:04]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   644: E[0:00:05]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
   786: E[0:00:06]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
   922: E[0:00:07]-R[0:00:08]: Return=     0.989, Steps=  12, Features = 16
  1058: E[0:00:08]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1192: E[0:00:09]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1326: E[0:00:10]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1464: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1601: E[0:00:12]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1739: E[0:00:13]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 16
  1880: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9936, Steps= 7.4, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:32:11]: Return=    0.7945, Steps= 6.5, Features = 16
     1: >>> E[0:00:32]-R[17:38:00]: Return=     0.995, Steps= 6.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.3947, Steps= 6.3, Features = 16
    96: E[0:00:01]-R[0:00:15]: Return=     0.997, Steps=   4, Features = 16
   221: E[0:00:02]-R[0:00:14]: Return=    -1.004, Steps=   5, Features = 16
   364: E[0:00:03]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   504: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   646: E[0:00:05]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
   786: E[0:00:06]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
   925: E[0:00:07]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1064: E[0:00:08]-R[0:00:07]: Return=     -1.01, Steps=  11, Features = 16
  1198: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1336: E[0:00:10]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1476: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1618: E[0:00:12]-R[0:00:03]: Return=    -1.006, Steps=   7, Features = 16
  1757: E[0:00:13]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  1897: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=     0.995, Steps= 6.0, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:24:31]: Return=    0.7941, Steps= 6.9, Features = 16
     1: >>> E[0:00:32]-R[17:38:58]: Return=    0.9964, Steps= 4.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.3947, Steps= 6.3, Features = 16
    92: E[0:00:01]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
   221: E[0:00:02]-R[0:00:14]: Return=    -1.004, Steps=   5, Features = 16
   366: E[0:00:03]-R[0:00:13]: Return=     0.983, Steps=  18, Features = 16
   502: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   644: E[0:00:05]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
   784: E[0:00:06]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
   922: E[0:00:07]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1062: E[0:00:08]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  1198: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1350: E[0:00:10]-R[0:00:05]: Return=     0.977, Steps=  24, Features = 16
  1488: E[0:00:11]-R[0:00:04]: Return=     0.989, Steps=  12, Features = 16
  1628: E[0:00:12]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1767: E[0:00:13]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1910: E[0:00:14]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9954, Steps= 5.6, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:24:28]: Return=    0.9936, Steps= 7.4, Features = 16
     1: >>> E[0:00:31]-R[16:58:12]: Return=     0.996, Steps= 5.0, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9938, Steps= 7.2, Features = 16
   104: E[0:00:01]-R[0:00:14]: Return=     0.987, Steps=  14, Features = 16
   218: E[0:00:02]-R[0:00:15]: Return=     0.997, Steps=   4, Features = 16
   358: E[0:00:03]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
   488: E[0:00:04]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   626: E[0:00:05]-R[0:00:11]: Return=     0.985, Steps=  16, Features = 16
   770: E[0:00:06]-R[0:00:10]: Return=     0.991, Steps=  10, Features = 16
   904: E[0:00:07]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  1042: E[0:00:08]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  1176: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1304: E[0:00:10]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1446: E[0:00:11]-R[0:00:04]: Return=     0.989, Steps=  12, Features = 16
  1578: E[0:00:12]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1722: E[0:00:13]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  1856: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  1996: E[0:00:15]-R[0:00:00]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9928, Steps= 8.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:16]-R[8:38:25]: Return=     0.796, Steps= 5.0, Features = 16
     1: >>> E[0:00:31]-R[17:20:16]: Return=    0.9954, Steps= 5.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=     0.196, Steps= 5.0, Features = 16
    91: E[0:00:01]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
   211: E[0:00:02]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
   343: E[0:00:03]-R[0:00:13]: Return=     0.989, Steps=  12, Features = 16
   471: E[0:00:04]-R[0:00:12]: Return=        -1, Steps=   1, Features = 16
   600: E[0:00:05]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   733: E[0:00:06]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
   858: E[0:00:07]-R[0:00:09]: Return=    -1.004, Steps=   5, Features = 16
   990: E[0:00:08]-R[0:00:08]: Return=    -1.008, Steps=   9, Features = 16
  1120: E[0:00:09]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  1253: E[0:00:10]-R[0:00:06]: Return=    -1.006, Steps=   7, Features = 16
  1384: E[0:00:11]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1509: E[0:00:12]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 16
  1637: E[0:00:13]-R[0:00:03]: Return=        -1, Steps=   1, Features = 16
  1771: E[0:00:14]-R[0:00:02]: Return=     0.991, Steps=  10, Features = 16
  1898: E[0:00:15]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=   -0.2032, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:16
     1: >>> E[0:00:16]-R[8:56:37]: Return=    0.5962, Steps= 4.8, Features = 16
     1: >>> E[0:00:33]-R[18:20:25]: Return=    0.5964, Steps= 4.6, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9946, Steps= 6.4, Features = 16
    90: E[0:00:01]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
   210: E[0:00:02]-R[0:00:14]: Return=     0.997, Steps=   4, Features = 16
